名前,ふりがな,アドレス,性別,年齢,誕生日,都道府県,カレーの食べ方
井出 充則,いで みつのり,ide_mitsunori@example.com,M,42,1975/2/2,愛知県,手前ルー・せき止め派
関根 寛治,せきね かんじ,sekine_kanji@example.com,M,41,1975/10/8,茨城県,手前ルー・せき止め派
杉本 麗奈,すぎもと れな,sugimoto_rena@example.com,F,29,1988/6/11,高知県,右ルー・ナン派
安田 希,やすだ のぞみ,yasuda_nozomi@example.com,F,24,1992/12/29,岐阜県,ぶっかけ・ルー攻め派
谷口 大樹,たにぐち ひろき,taniguchi_hiroki@example.com,M,60,1956/12/1,京都府,ぶっかけ・ルー攻め派
比嘉 光洋,ひよし みつひろ,hiyoshi_mitsuhiro@example.com,M,51,1966/2/21,東京都,奥ルー・せき止め派
津川 由樹,つがわ ゆき,tsugawa_yuki@example.com,F,67,1949/11/8,和歌山県,ぶっかけ・別口派
井出 なつみ,いで なつみ,ide_natsumi@example.com,F,27,1989/12/10,大阪府,右ルー・せき止め派
北村 隆太,きたむら りゅうた,kitamura_ryuuta@example.com,M,42,1975/3/15,千葉県,ぶっかけ・ルー攻め派
中島 晋也,なかしま しんや,nakashima_shinya@example.com,M,29,1987/10/7,沖縄県,別盛り・別口派
井原 景子,いはら けいこ,ihara_keiko@example.com,F,64,1952/6/30,熊本県,手前ルー・ルー攻め派
北島 聡,きたじま さとし,kitajima_satoshi@example.com,M,69,1947/7/16,埼玉県,別盛り・せき止め派
石黒 まなみ,いしぐろ まなみ,ishiguro_manami@example.com,F,48,1968/10/22,青森県,右ルー・せき止め派
関根 寛,せきね ひろし,sekine_hiroshi@example.com,M,41,1976/5/27,三重県,左ルー・せき止め派
武田 季衣,たけだ としえ,takeda_toshie@example.com,F,66,1951/3/30,神奈川県,ぶっかけ・混ぜ混ぜ派
乾 ケンイチ,いぬい けんいち,inui_kenichi@example.com,M,73,1944/1/7,兵庫県,ぶっかけ・せき止め派
浅見 菊生,あさみ きくお,asami_kikuo@example.com,M,26,1990/8/6,栃木県,右ルー・別口派
田口 完爾,たぐち かんじ,taguchi_kanji@example.com,M,29,1988/1/19,愛知県,手前ルー・ルー攻め派
川本 兼,かわもと けん,kawamoto_ken@example.com,M,44,1972/9/9,滋賀県,ぶっかけ・せき止め派
小倉 ケンイチ,おぐら けんいち,ogura_kenichi@example.com,M,72,1944/6/13,山形県,左ルー・混ぜ混ぜ派
布川 早織,ふかわ さおり,fukawa_saori@example.com,F,21,1996/1/19,兵庫県,別盛り・ナン派
